-0,054
-0,2015
-0,4965
-0,349
-0,054
0,3885
0,241
0,241
0,3885
0,3885
0,241
0,241
-0,054
-0,2015
-0,054
0,241
0,3885
-0,054
-0,2015
-0,054
-0,054
0,0935
0,241
0,0935
-0,054
-0,054
0,0935
0,3885
0,3885
0,241
0,0935
0,0935
0,0935
0,241
0,0935
0,0935
0,0935
0,3885
-0,054
0,0935
0,0935
0,241
0,241
-0,054
-0,2015
-0,054
0,0935
0,241
0,241
0,3885
0,241
0,241
0,0935
0,0935
0,241
0,241
0,241
0,3885
0,3885
0,241
0,241
0,3885
0,3885
0,241
0,241
0,241
0,241
0,241
0,241
0,241
0,241
0,536
0,3885
0,241
0,3885
0,241
0,241
0,3885
0,536
0,3885
0,241
0,241
0,3885
0,3885
0,3885
0,3885
0,3885
0,536
0,536
0,6835
0,6835
0,536
0,3885
0,536
0,536
0,536
0,3885
0,536
0,536
0,6835
0,6835
0,536
0,6835
0,6835
0,831
0,6835
0,536
0,3885
0,3885
0,6835
0,831
0,536
0,3885
0,6835
0,6835
0,831
0,831
1,126
1,421
1,2735
0,831
0,6835
0,831
0,9785
1,126
1,126
1,2735
1,2735
1,421
1,421
1,5685
1,716
1,421
1,421
1,5685
1,8635
2,011
2,306
2,601
2,601
2,601
2,4535
2,601
3,0435
3,0435
3,0435
3,3385
3,191
2,896
3,0435
3,0435
3,3385
3,6335
3,781
3,6335
3,6335
3,6335
3,781
3,9285
4,076
4,076
4,076
4,2235
4,5185
4,666
4,8135
4,8135
5,1085
5,4035
5,1085
5,4035
5,4035
5,256
5,4035
5,551
5,6985
5,846
6,141
6,141
6,436
6,731
6,731
6,8785
6,8785
6,8785
6,8785
6,8785
7,1735
7,321
7,4685
7,616
7,911
7,911
8,0585
8,0585
8,0585
8,0585
8,0585
8,206
8,0585
7,911
7,616
7,616
7,321
7,4685
7,616
7,911
8,3535
8,3535
8,206
8,206
8,206
8,501
8,501
8,501
8,501
8,6485
8,501
8,6485
8,501
8,6485
8,796
9,091
9,2385
9,386
8,9435
8,796
8,9435
9,091
9,2385
9,386
9,2385
9,091
9,091
8,9435
8,9435
8,9435
8,796
8,9435
8,9435
8,501
8,3535
8,206
8,206
8,3535
8,6485
8,796
9,091
9,2385
9,2385
9,2385
9,091
8,9435
8,9435
8,9435
8,6485
8,501
8,501
8,3535
8,796
8,796
8,796
8,6485
8,501
8,6485
8,501
8,501
8,3535
8,206
7,7635
7,7635
8,0585
7,911
7,7635
8,0585
7,911
8,0585
8,0585
7,911
7,7635
7,321
7,321
7,1735
7,616
7,911
7,7635
7,911
7,7635
7,026
7,1735
7,1735
6,8785
7,026
7,321
7,4685
7,616
7,321
7,1735
7,4685
7,026
7,026
6,8785
7,1735
7,321
7,026
6,436
6,2885
6,2885
6,2885
6,436
6,436
6,2885
6,141
6,141
6,141
5,6985
5,6985
5,846
5,551
5,6985
5,551
5,551
5,551
5,4035
4,8135
4,8135
5,1085
5,4035
5,551
5,6985
5,6985
5,846
5,846
5,846
5,846
5,6985
5,846
5,551
5,551
5,846
5,551
5,256
5,4035
5,4035
5,846
6,436
6,8785
7,1735
7,321
7,026
6,2885
5,6985
5,1085
5,4035
5,846
6,436
6,436
6,2885
6,141
6,2885
5,9935
5,9935
5,9935
5,551
5,6985
5,551
5,1085
4,961
4,666
5,4035
5,6985
5,256
5,4035
5,4035
5,4035
5,551
5,551
5,256
5,6985
5,9935
5,846
5,6985
5,551
5,551
5,846
5,551
5,9935
6,2885
5,9935
5,846
5,6985
5,846
5,9935
5,6985
5,9935
5,846
5,551
5,6985
5,4035
5,6985
6,141
5,846
5,6985
6,141
5,846
5,846
5,9935
5,9935
5,9935
5,846
5,846
5,6985
5,846
5,9935
5,4035
5,6985
5,9935
5,846
5,6985
5,551
5,551
5,6985
5,846
5,846
5,551
5,551
5,6985
5,6985
5,6985
5,551
5,6985
5,4035
5,551
5,4035
5,4035
5,551
5,4035
5,551
5,551
5,6985
5,6985
5,4035
5,4035
5,551
5,256
5,551
5,6985
5,9935
5,551
5,256
5,4035
5,551
5,551
5,551
5,551
5,4035
5,846
6,141
5,9935
5,846
5,6985
5,551
5,9935
6,141
6,5835
6,5835
6,436
6,141
5,846
6,141
6,141
6,141
6,2885
6,141
6,141
5,846
5,551
5,551
5,551
5,551
5,551
5,846
5,846
6,141
5,9935
5,9935
6,2885
5,846
5,551
5,846
5,4035
5,4035
5,6985
5,846
6,141
6,141
5,9935
5,846
5,551
5,4035
5,4035
5,256
5,551
5,846
5,9935
6,141
6,141
5,9935
5,9935
6,141
6,141
6,2885
5,9935
5,846
5,846
5,551
5,4035
5,551
5,9935
5,9935
6,141
6,436
